City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
avare,92,BR,1551340619,99,-23.1,-48.93,66.52,3.27
kapaa,40,US,1551340395,52,22.08,-159.32,66.2,11.41
hovd,75,NO,1551340531,86,63.83,10.7,39.99,24.16
hithadhoo,56,MV,1551340625,100,-0.6,73.08,82.49,10.98
ramnagar,12,IN,1551340626,100,27.17,84.33,64.18,4.27
nikolskoye,75,RU,1551340584,97,59.7,30.79,37.0,8.95
vamvakou,0,GR,1551340432,61,39.34,22.42,48.0,8.05
carnarvon,0,ZA,1551340632,27,-30.97,22.13,74.39,5.17
rikitea,24,PF,1551340122,98,-23.12,-134.97,80.24,6.17
jumla,76,NP,1551340634,66,29.28,82.18,24.67,2.15
punta arenas,90,CL,1551340395,87,-53.16,-70.91,48.2,19.46
paamiut,76,GL,1551340637,84,61.99,-49.67,32.36,7.4
tura,92,IN,1551340638,97,25.52,90.21,58.55,2.37
port alfred,0,ZA,1551340563,51,-33.59,26.89,75.99,11.01
lebu,20,ET,1551337200,24,8.96,38.73,71.6,4.7
le vauclin,0,MQ,1551340526,83,14.55,-60.84,75.2,9.17
lompoc,90,US,1551340309,87,34.64,-120.46,57.2,5.82
aklavik,20,CA,1551337200,66,68.22,-135.01,10.4,10.29
geraldton,20,CA,1551337200,77,49.72,-86.95,-2.21,3.36
morros,75,BR,1551337200,94,-2.87,-44.04,77.0,5.82
busselton,12,AU,1551340507,30,-33.64,115.35,82.99,18.14
hermanus,12,ZA,1551339990,64,-34.42,19.24,73.0,10.0
bajil,0,ES,1551340654,60,38.23,-2.07,51.13,3.49
morant bay,20,JM,1551337200,57,17.88,-76.41,77.0,4.7
yulara,0,AU,1551337200,7,-25.24,130.99,104.0,11.41
matiguas,92,NI,1551340658,96,12.84,-85.46,68.72,8.19
mataura,76,NZ,1551339605,82,-46.19,168.86,54.0,5.99
itarema,88,BR,1551340661,96,-2.92,-39.92,73.72,3.38
ushuaia,90,AR,1551337200,93,-54.81,-68.31,46.4,10.29
tuktoyaktuk,24,CA,1551340663,94,69.44,-133.03,3.2,15.23
karratha,44,AU,1551340665,26,-20.74,116.85,97.48,14.9
magadan,56,RU,1551340469,100,59.56,150.8,6.26,4.16
dikson,44,RU,1551340667,92,73.51,80.55,0.23,32.57
kachiry,64,KZ,1551340669,96,53.07,76.1,22.42,7.4
maniitsoq,8,GL,1551340670,57,65.42,-52.9,20.98,5.17
albany,90,US,1551340098,85,42.65,-73.75,18.0,3.36
barrow,0,AR,1551340673,81,-38.31,-60.23,44.65,7.18
mahebourg,75,MU,1551340441,66,-20.41,57.7,87.8,12.75
olavarria,0,AR,1551340504,84,-36.89,-60.32,50.0,2.71
ilulissat,0,GL,1551340677,69,69.22,-51.1,6.67,4.16
ribeira grande,75,PT,1551339000,93,38.52,-28.7,60.8,13.87
kodiak,1,US,1551340666,50,39.95,-94.76,12.0,9.17
marawi,12,PH,1551339972,78,8.0,124.29,80.01,5.99
